pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
Cell Cycle,,0.0051744231,0.018382486,1.7355957561,1.7049300957,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
SUMOylation of ubiquitinylation proteins,,0.0052199973,0.0184541512,1.733905926,5.253968254,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-101-3p,,,,,,,,,,,,,,
DSCAM interactions,,0.0052199973,0.0184541512,1.733905926,5.253968254,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p,,,,,,,,,,,,,,
Vesicle-mediated transport,,0.0053147977,0.0187436918,1.7271448644,2.0432098765,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p,,,,,,,
Downstream signaling of activated FGFR4,FGFR,0.0053795802,0.018835012,1.7250340977,2.9255050505,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Ubiquitin-dependent degradation of Cyclin D,,0.0053795802,0.018835012,1.7250340977,2.9255050505,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,
Signaling by Activin,,0.0053795802,0.018835012,1.7250340977,2.9255050505,hsa-miR-424-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,
G alpha (q) signalling events,,0.0054479214,0.0190284369,1.720596885,2.1891534392,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,
Negative regulation of FGFR1 signaling,FGFR,0.0055596006,0.0192335705,1.7159400866,3.3434343434,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Signaling by NTRKs,,0.0055522522,0.0192335705,1.7159400866,2.0329424902,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,
Cyclin D associated events in G1,,0.0055522522,0.0192335705,1.7159400866,2.0329424902,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
G1 Phase,,0.0055522522,0.0192335705,1.7159400866,2.0329424902,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Heme signaling,,0.0057449333,0.0198275252,1.7027314889,2.8926342072,hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p,,,,,,,,,,,
Rap1 signalling,,0.0059509201,0.0204413401,1.6894906369,5.0727969349,hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
SUMOylation of DNA replication proteins,,0.0059509201,0.0204413401,1.6894906369,5.0727969349,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
Syndecan interactions,,0.0060049843,0.0205299817,1.6876114382,3.2935323383,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,,,,,
ER-Phagosome pathway,,0.0060049843,0.0205299817,1.6876114382,3.2935323383,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-153-3p, hsa-miR-195-5p,,,,,,,,,,,,
Cellular response to hypoxia,,0.0061291768,0.0209053846,1.6797418384,2.8604938272,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,
Mitotic Spindle Checkpoint,,0.0061925479,0.0209250515,1.6793334652,3.9125295508,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Signaling by FGFR3,FGFR,0.0061776496,0.0209250515,1.6793334652,2.5584541063,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
PI5P Regulates TP53 Acetylation,,0.0061925479,0.0209250515,1.6793334652,3.9125295508,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,,
Deactivation of the beta-catenin transactivating complex,,0.0062162268,0.0209563283,1.6786848074,2.3309859155,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Other semaphorin interactions,,0.0062733936,0.0210513646,1.6767197465,7.3555555556,hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-130b-3p,,,,,,,,,,,,,,,
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),,0.0062733936,0.0210513646,1.6767197465,7.3555555556,hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-21-3p,,,,,,,,,,,,,,,
Downstream signaling of activated FGFR2,FGFR,0.0065329491,0.0213792229,1.6700080842,2.8290598291,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Regulation of TP53 Activity through Association with Co-factors,,0.0065329491,0.0213792229,1.6700080842,2.8290598291,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,
Apoptotic execution phase,,0.0065329491,0.0213792229,1.6700080842,2.8290598291,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p,,,,,,,,,,,
Mitotic Prometaphase,,0.0064765792,0.0213792229,1.6700080842,3.2450980392,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
TRAF6 mediated NF-kB activation,,0.0064765792,0.0213792229,1.6700080842,3.2450980392,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-195-5p,,,,,,,,,,,,
Post-translational protein phosphorylation,,0.0065329491,0.0213792229,1.6700080842,2.8290598291,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p,,,,,,,,,,,
RUNX2 regulates osteoblast differentiation,,0.0065329491,0.0213792229,1.6700080842,2.8290598291,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Downregulation of TGF-beta receptor signaling,,0.0065329491,0.0213792229,1.6700080842,2.8290598291,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-93-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
RHO GTPases Activate WASPs and WAVEs,,0.0064765792,0.0213792229,1.6700080842,3.2450980392,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Regulation of MECP2 expression and activity,,0.0064765792,0.0213792229,1.6700080842,3.2450980392,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,
RHOJ GTPase cycle,,0.0064765792,0.0213792229,1.6700080842,3.2450980392,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Peroxisomal protein import,,0.0066596769,0.0217449676,1.6626412343,14.7111111111,hsa-miR-30c-5p, hsa-miR-30b-5p,,,,,,,,,,,,,,,,
Signalling to STAT3,JAK/STAT,0.006748149,0.0219352583,1.6588572463,4.9037037037,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,,
Laminin interactions,,0.006748149,0.0219352583,1.6588572463,4.9037037037,hsa-miR-29b-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p,,,,,,,,,,,,,,
Regulation of TP53 Expression,,0.0067948796,0.021988775,1.657798964,3.8310185185,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,
Activation of the AP-1 family of transcription factors,,0.0067948796,0.021988775,1.657798964,3.8310185185,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,,,
Signaling by FGFR2,FGFR,0.0069030432,0.0222891596,1.6519063065,2.5147198481,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Molecules associated with elastic fibres,,0.006975319,0.0223240935,1.6512261675,3.1980676329,hsa-miR-29b-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Diseases of glycosylation,,0.006975319,0.0223240935,1.6512261675,3.1980676329,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p,,,,,,,,,,,,
Downstream signaling of activated FGFR3,FGFR,0.0069568954,0.0223240935,1.6512261675,2.7983091787,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Interleukin receptor SHC signaling,Interleukin,0.006975319,0.0223240935,1.6512261675,3.1980676329,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,,0.0072900264,0.0231781365,1.6349214843,2.4934086629,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
VEGFR2 mediated cell proliferation,,0.0072900264,0.0231781365,1.6349214843,2.4934086629,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
MAP kinase activation,,0.0072900264,0.0231781365,1.6349214843,2.4934086629,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Generic Transcription Pathway,,0.0075985592,0.0234908648,1.6291009949,1.3987074323,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
Integration of viral DNA into host genomic DNA,,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
NRAGE signals death through JNK,Cell death,0.0074380563,0.0234908648,1.6291009949,3.7528344671,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p,,,,,,,,,,,,,
FasL/ CD95L signaling,,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-296-5p, hsa-miR-376a-3p, hsa-miR-21-3p,,,,,,,,,,,,,,,
Cyclin A:Cdk2-associated events at S phase entry,,0.00747462,0.0234908648,1.6291009949,1.9638619202,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
FGFR2b ligand binding and activation,FGFR,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
APOBEC3G mediated resistance to HIV-1 infection,,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Signaling by MAPK mutants,,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-132-3p,,,,,,,,,,,,,,,
Disorders of transmembrane transporters,,0.0074380563,0.0234908648,1.6291009949,3.7528344671,hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,
Autointegration results in viral DNA circles,,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Cyclin E associated events during G1/S transition ,,0.00747462,0.0234908648,1.6291009949,1.9638619202,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Nicotinate metabolism,,0.007589286,0.0234908648,1.6291009949,6.8958333333,hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p,,,,,,,,,,,,,,,
Interleukin-9 signaling,Interleukin,0.0074380563,0.0234908648,1.6291009949,3.7528344671,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
Mitotic G1 phase and G1/S transition,,0.0077443646,0.0238907894,1.6217695001,1.8388888889,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
TAK1 activates NFkB by phosphorylation and activation of IKKs complex,,0.008057989,0.0247453269,1.6065068052,3.1079812207,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-195-5p,,,,,,,,,,,,
Regulation of RUNX2 expression and activity,,0.0081150143,0.0247453269,1.6065068052,2.4518518519,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,
Role of phospholipids in phagocytosis,,0.0081235519,0.0247453269,1.6065068052,3.6777777778,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-376a-3p,,,,,,,,,,,,,
Interleukin-17 signaling,Interleukin,0.0081150143,0.0247453269,1.6065068052,2.4518518519,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
SUMOylation of transcription factors,,0.008057989,0.0247453269,1.6065068052,3.1079812207,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
Interleukin-21 signaling,Interleukin,0.0081235519,0.0247453269,1.6065068052,3.6777777778,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
RNA Polymerase II Transcription,,0.0081441728,0.0247562409,1.6063153,1.3924771096,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
Formation of the beta-catenin:TCF transactivating complex,,0.0083563206,0.0253480875,1.5960548028,2.7099415205,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,,
Epigenetic regulation of gene expression,,0.0085540147,0.0257862725,1.5886114325,2.4315886134,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,
Uptake and actions of bacterial toxins,,0.0085520527,0.0257862725,1.5886114325,4.5972222222,hsa-miR-424-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
M Phase,,0.0085540147,0.0257862725,1.5886114325,2.4315886134,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Peptide hormone metabolism,,0.0086438048,0.0259492734,1.585874799,3.0648148148,hsa-miR-424-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p,,,,,,,,,,,,
RHOU GTPase cycle,,0.0086438048,0.0259492734,1.585874799,3.0648148148,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,,
Costimulation by the CD28 family,,0.0087391152,0.0261813081,1.5820086583,2.2214765101,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Suppression of apoptosis,,0.0090582433,0.0269153936,1.5699992642,6.4901960784,hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-132-3p,,,,,,,,,,,,,,,
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,0.0090113584,0.0269153936,1.5699992642,2.4116575592,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p,,,,,,,,,,
Phospholipase C-mediated cascade; FGFR4,FGFR,0.0090582433,0.0269153936,1.5699992642,6.4901960784,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
FGFR4 ligand binding and activation,FGFR,0.0090582433,0.0269153936,1.5699992642,6.4901960784,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Antigen processing-Cross presentation,,0.009260534,0.0273486908,1.563063459,3.0228310502,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-153-3p, hsa-miR-195-5p,,,,,,,,,,,,
Signaling by cytosolic FGFR1 fusion mutants,FGFR,0.009260534,0.0273486908,1.563063459,3.0228310502,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-21-3p,,,,,,,,,,,,
Cell Cycle,,0.0092428704,0.0273486908,1.563063459,1.6191474493,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
PI3K events in ERBB4 signaling,,0.0095637802,0.0281299041,1.5508317485,4.4579124579,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
RUNX2 regulates chondrocyte maturation,,0.0095637802,0.0281299041,1.5508317485,4.4579124579,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-30b-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
Microbial modulation of RIPK1-mediated regulated necrosis,,0.0098285239,0.0286763961,1.5424754299,12.2592592593,hsa-miR-296-5p, hsa-miR-376a-3p,,,,,,,,,,,,,,,,
SUMO is transferred from E1 to E2 (UBE2I,,0.0098285239,0.0286763961,1.5424754299,12.2592592593,hsa-miR-30c-5p, hsa-miR-214-3p,,,,,,,,,,,,,,,,
Cholesterol biosynthesis,,0.0098285239,0.0286763961,1.5424754299,12.2592592593,hsa-miR-29b-3p, hsa-miR-19a-3p,,,,,,,,,,,,,,,,
Synthesis of Lipoxins (LX),,0.0098285239,0.0286763961,1.5424754299,12.2592592593,hsa-miR-19a-3p, hsa-miR-21-3p,,,,,,,,,,,,,,,,
Regulation of TP53 Activity through Methylation,,0.0099091221,0.0288536161,1.5397997513,2.981981982,hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
Signaling by ROBO receptors,,0.0099610784,0.0289468938,1.5383980322,2.626984127,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,,,,
TP53 Regulates Transcription of Cell Cycle Genes,,0.0100436001,0.0291284449,1.5356827014,2.1776315789,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
VEGFA-VEGFR2 Pathway,,0.0103153196,0.0298568911,1.524955416,1.8904465213,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Gene expression (Transcription),,0.0103477163,0.0298911167,1.5244578594,1.3711013645,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
Vpr-mediated nuclear import of PICs,,0.0106843448,0.0300859555,1.5216361907,6.1296296296,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
2-LTR circle formation,,0.0106843448,0.0300859555,1.5216361907,6.1296296296,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
RHOD GTPase cycle,,0.01065191,0.0300859555,1.5216361907,4.3267973856,hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
Regulation of PLK1 Activity at G2/M Transition,,0.01065191,0.0300859555,1.5216361907,4.3267973856,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
Diseases associated with the TLR signaling cascade,,0.0105905137,0.0300859555,1.5216361907,2.9422222222,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
HIV Life Cycle,,0.0104485004,0.0300859555,1.5216361907,3.4696016771,hsa-miR-296-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-93-3p, hsa-miR-195-5p,,,,,,,,,,,,,
The role of GTSE1 in G2/M progression after G2 checkpoint,,0.0105447673,0.0300859555,1.5216361907,2.6004489338,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-132-3p,,,,,,,,,,,
